trade_date,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
2019-02-01,600690.SH,20190201,16.19,0.4127,0.7003,0.89,14.8871,13.9894,2.7487,0.6474,0.5786,636841.67,609740.2727,359385.4579,10310466.6373,9871695.015
2019-01-31,600690.SH,20190131,16.0,0.5596,0.9494,1.25,14.7123,13.8252,2.7164,0.6398,0.5718,636841.67,609740.2727,359385.4579,10189466.72,9755844.3632
2019-01-30,600690.SH,20190130,15.55,0.3522,0.5975,0.81,14.2986,13.4364,2.64,0.6218,0.5557,636841.67,609740.2727,359385.4579,9902887.9685,9481461.2405
2019-01-29,600690.SH,20190129,15.57,0.4767,0.8089,1.14,14.317,13.4536,2.6434,0.6226,0.5564,636841.67,609740.2727,359385.4579,9915624.8019,9493656.0459
2019-01-28,600690.SH,20190128,15.57,0.4915,0.8339,1.08,14.317,13.4536,2.6434,0.6226,0.5564,636841.67,609740.2727,359385.4579,9915624.8019,9493656.0459
2019-01-25,600690.SH,20190125,15.46,0.428,0.7262,0.89,14.2158,13.3586,2.6248,0.6182,0.5525,636841.67,609740.2727,359385.4579,9845572.2182,9426584.6159
2019-01-24,600690.SH,20190124,15.31,0.4968,0.843,1.08,14.0779,13.229,2.5993,0.6122,0.5471,636841.67,609740.2727,359385.4579,9750045.9677,9335123.575
2019-01-23,600690.SH,20190123,14.88,0.2924,0.4961,0.58,13.6825,12.8574,2.5263,0.595,0.5318,636841.67,609740.2727,359385.4579,9476204.0496,9072935.2578
2019-01-22,600690.SH,20190122,14.97,0.3744,0.6353,0.63,13.7652,12.9352,2.5416,0.5986,0.535,636841.67,609740.2727,359385.4579,9533519.7999,9127811.8823
2019-01-21,600690.SH,20190121,15.18,0.6902,1.171,1.36,13.9583,13.1166,2.5772,0.607,0.5425,636841.67,609740.2727,359385.4579,9667256.5506,9255857.3396
2019-01-18,600690.SH,20190118,15.14,0.564,0.9568,1.23,13.9216,13.0821,2.5704,0.6054,0.5411,636841.67,609740.2727,359385.4579,9641782.8838,9231467.7287
2019-01-17,600690.SH,20190117,14.62,0.3895,0.6609,0.81,13.4434,12.6328,2.4822,0.5846,0.5225,636841.67,609740.2727,359385.4579,9310625.2154,8914402.7869
2019-01-16,600690.SH,20190116,14.63,0.4879,0.8278,0.77,13.4526,12.6414,2.4839,0.585,0.5228,636841.67,609740.2727,359385.4579,9316993.6321,8920500.1896
2019-01-15,600690.SH,20190115,14.66,0.835,1.4167,1.57,13.4802,12.6673,2.4889,0.5862,0.5239,636841.67,609740.2727,359385.4579,9336098.8822,8938792.3978
2019-01-14,600690.SH,20190114,13.95,0.265,0.4496,0.47,12.8273,12.0538,2.3684,0.5578,0.4985,636841.67,609740.2727,359385.4579,8883941.2965,8505876.8042
2019-01-11,600690.SH,20190111,14.07,0.3233,0.5485,0.57,12.9377,12.1575,2.3888,0.5626,0.5028,636841.67,609740.2727,359385.4579,8960362.2969,8579045.6369
2019-01-10,600690.SH,20190110,13.96,0.4809,0.816,0.92,12.8365,12.0625,2.3701,0.5582,0.4989,636841.67,609740.2727,359385.4579,8890309.7132,8511974.2069
2019-01-09,600690.SH,20190109,14.0,1.2667,2.1491,3.85,12.8733,12.097,2.3769,0.5598,0.5003,636841.67,609740.2727,359385.4579,8915783.38,8536363.8178
2019-01-08,600690.SH,20190108,13.26,0.3276,0.5559,0.91,12.1929,11.4576,2.2513,0.5303,0.4739,636841.67,609740.2727,359385.4579,8444520.5442,8085156.016
2019-01-07,600690.SH,20190107,13.42,0.4481,0.7603,1.29,12.34,11.5959,2.2784,0.5367,0.4796,636841.67,609740.2727,359385.4579,8546415.2114,8182714.4596
2019-01-04,600690.SH,20190104,13.59,0.3054,0.5181,0.9,12.4963,11.7428,2.3073,0.5434,0.4857,636841.67,609740.2727,359385.4579,8654678.2953,8286370.306
2019-01-03,600690.SH,20190103,13.45,0.2609,0.4426,0.77,12.3676,11.6218,2.2835,0.5379,0.4807,636841.67,609740.2727,359385.4579,8565520.4615,8201006.6678
2019-01-02,600690.SH,20190102,13.53,0.3021,0.5125,0.98,12.4411,11.6909,2.2971,0.5411,0.4835,636841.67,609740.2727,359385.4579,8616467.7951,8249785.8896
